,Country,Country code,Job,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert
0,INDIA,IN,Assistant_General_Manager_(AGM),1687306,₹628k , ₹3m.,"Mumbai, Maharashtra",+14%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014
1,INDIA,IN,Assistant_General_Manager_(AGM),1687306,₹628k , ₹3m.,"New Delhi, Delhi",+11%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014
2,INDIA,IN,Assistant_General_Manager_(AGM),1687306,₹628k , ₹3m.,"Bangalore, Karnataka",+7%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014
3,INDIA,IN,Assistant_General_Manager_(AGM),1687306,₹628k , ₹3m.,"Pune, Maharashtra",+4%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014
4,INDIA,IN,Assistant_General_Manager_(AGM),1687306,₹628k , ₹3m.,"Delhi, Delhi",-4%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014
5,INDIA,IN,Assistant_General_Manager_(AGM),1687306,₹628k , ₹3m.,"Chennai, Tamil Nadu",-6%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014
6,INDIA,IN,Assistant_General_Manager_(AGM),1687306,₹628k , ₹3m.,"Hyderabad, Andhra Pradesh",-8%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014
7,INDIA,IN,Data_Scientist,813593,₹343k , ₹2m.,"Gurgaon, Haryana",+23%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014
8,INDIA,IN,Data_Scientist,813593,₹343k , ₹2m.,"Bangalore, Karnataka",+21%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014
9,INDIA,IN,Data_Scientist,813593,₹343k , ₹2m.,"Hyderabad, Andhra Pradesh",-1%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014
