,Country,Country code,Job,Currency Notation,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert,Avg. salary (USD),Max. salary (USD),Min. salary (USD)
0,INDIA,IN,Assistant_General_Manager_(AGM),₹,1687306.0,628000.0,3000000.0,"Mumbai, Maharashtra",+14%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0
1,INDIA,IN,Assistant_General_Manager_(AGM),₹,1687306.0,628000.0,3000000.0,"New Delhi, Delhi",+11%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0
2,INDIA,IN,Assistant_General_Manager_(AGM),₹,1687306.0,628000.0,3000000.0,"Bangalore, Karnataka",+7%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0
3,INDIA,IN,Assistant_General_Manager_(AGM),₹,1687306.0,628000.0,3000000.0,"Pune, Maharashtra",+4%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0
4,INDIA,IN,Assistant_General_Manager_(AGM),₹,1687306.0,628000.0,3000000.0,"Delhi, Delhi",-4%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0
5,INDIA,IN,Assistant_General_Manager_(AGM),₹,1687306.0,628000.0,3000000.0,"Chennai, Tamil Nadu",-6%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0
6,INDIA,IN,Assistant_General_Manager_(AGM),₹,1687306.0,628000.0,3000000.0,"Hyderabad, Andhra Pradesh",-8%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0
7,INDIA,IN,Data_Scientist,₹,813593.0,343000.0,2000000.0,"Gurgaon, Haryana",+23%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0
8,INDIA,IN,Data_Scientist,₹,813593.0,343000.0,2000000.0,"Bangalore, Karnataka",+21%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0
9,INDIA,IN,Data_Scientist,₹,813593.0,343000.0,2000000.0,"Hyderabad, Andhra Pradesh",-1%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0
10,INDIA,IN,Data_Scientist,₹,813593.0,343000.0,2000000.0,"Mumbai, Maharashtra",-3%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0
11,INDIA,IN,Data_Scientist,₹,813593.0,343000.0,2000000.0,"New Delhi, Delhi",-4%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0
12,INDIA,IN,Data_Scientist,₹,813593.0,343000.0,2000000.0,"Chennai, Tamil Nadu",-5%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0
13,INDIA,IN,Data_Scientist,₹,813593.0,343000.0,2000000.0,"Pune, Maharashtra",-11%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0
14,INDIA,IN,Software_Engineer,₹,523765.0,259000.0,1000000.0,"Gurgaon, Haryana",+27%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0
15,INDIA,IN,Software_Engineer,₹,523765.0,259000.0,1000000.0,"Bangalore, Karnataka",+17%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0
16,INDIA,IN,Software_Engineer,₹,523765.0,259000.0,1000000.0,"Hyderabad, Andhra Pradesh",+4%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0
17,INDIA,IN,Software_Engineer,₹,523765.0,259000.0,1000000.0,"Pune, Maharashtra",-0%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0
18,INDIA,IN,Software_Engineer,₹,523765.0,259000.0,1000000.0,"Chennai, Tamil Nadu",-5%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0
19,INDIA,IN,Software_Engineer,₹,523765.0,259000.0,1000000.0,"Mumbai, Maharashtra",-6%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0
20,INDIA,IN,Software_Engineer,₹,523765.0,259000.0,1000000.0,"Noida, Uttar Pradesh",-7%,84.3%,15.6%,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0
21,INDIA,IN,Primary_School_Teacher,₹,239512.0,100000.0,506000.0,"Mumbai, Maharashtra",+26%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0
22,INDIA,IN,Primary_School_Teacher,₹,239512.0,100000.0,506000.0,"New Delhi, Delhi",+11%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0
23,INDIA,IN,Primary_School_Teacher,₹,239512.0,100000.0,506000.0,"Bangalore, Karnataka",+3%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0
24,INDIA,IN,Primary_School_Teacher,₹,239512.0,100000.0,506000.0,"Pune, Maharashtra",-1%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0
25,INDIA,IN,Primary_School_Teacher,₹,239512.0,100000.0,506000.0,"Kolkata, West Bengal",-6%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0
26,INDIA,IN,Primary_School_Teacher,₹,239512.0,100000.0,506000.0,"Hyderabad, Andhra Pradesh",-12%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0
