,Country,Country code,Job,Currency Notation,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert,Avg. salary (USD),Max. salary (USD),Min. salary (USD),Cost of living pm
0,INDIA,IN,AGM,₹,1687306.0,628000.0,3000000.0,"Mumbai, Maharashtra",14.0,89.2,10.6,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0,28405.58
1,INDIA,IN,AGM,₹,1687306.0,628000.0,3000000.0,"New Delhi, Delhi",11.0,89.2,10.6,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0,27215.8
2,INDIA,IN,AGM,₹,1687306.0,628000.0,3000000.0,"Bangalore, Karnataka",7.0,89.2,10.6,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0,26220.74
3,INDIA,IN,AGM,₹,1687306.0,628000.0,3000000.0,"Pune, Maharashtra",4.0,89.2,10.6,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0,24736.68
4,INDIA,IN,AGM,₹,1687306.0,628000.0,3000000.0,"Delhi, Delhi",-4.0,89.2,10.6,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0,27215.8
5,INDIA,IN,AGM,₹,1687306.0,628000.0,3000000.0,"Chennai, Tamil Nadu",-6.0,89.2,10.6,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0,24516.72
6,INDIA,IN,AGM,₹,1687306.0,628000.0,3000000.0,"Hyderabad, Andhra Pradesh",-8.0,89.2,10.6,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']",0.014,23622.284,42000.0,8792.0,24588.3
7,INDIA,IN,Data Scientist,₹,813593.0,343000.0,2000000.0,"Gurgaon, Haryana",23.0,84.7,15.1,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0,31134.26
8,INDIA,IN,Data Scientist,₹,813593.0,343000.0,2000000.0,"Bangalore, Karnataka",21.0,84.7,15.1,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0,26220.74
9,INDIA,IN,Data Scientist,₹,813593.0,343000.0,2000000.0,"Hyderabad, Andhra Pradesh",-1.0,84.7,15.1,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0,24588.3
10,INDIA,IN,Data Scientist,₹,813593.0,343000.0,2000000.0,"Mumbai, Maharashtra",-3.0,84.7,15.1,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0,28405.58
11,INDIA,IN,Data Scientist,₹,813593.0,343000.0,2000000.0,"New Delhi, Delhi",-4.0,84.7,15.1,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0,27215.8
12,INDIA,IN,Data Scientist,₹,813593.0,343000.0,2000000.0,"Chennai, Tamil Nadu",-5.0,84.7,15.1,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0,24516.72
13,INDIA,IN,Data Scientist,₹,813593.0,343000.0,2000000.0,"Pune, Maharashtra",-11.0,84.7,15.1,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']",0.014,11390.302,28000.0,4802.0,24736.68
14,INDIA,IN,Software Engineer,₹,523765.0,259000.0,1000000.0,"Gurgaon, Haryana",27.0,84.3,15.6,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0,31134.26
15,INDIA,IN,Software Engineer,₹,523765.0,259000.0,1000000.0,"Bangalore, Karnataka",17.0,84.3,15.6,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0,26220.74
16,INDIA,IN,Software Engineer,₹,523765.0,259000.0,1000000.0,"Hyderabad, Andhra Pradesh",4.0,84.3,15.6,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0,24588.3
17,INDIA,IN,Software Engineer,₹,523765.0,259000.0,1000000.0,"Pune, Maharashtra",0.0,84.3,15.6,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0,24736.68
18,INDIA,IN,Software Engineer,₹,523765.0,259000.0,1000000.0,"Chennai, Tamil Nadu",-5.0,84.3,15.6,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0,24516.72
19,INDIA,IN,Software Engineer,₹,523765.0,259000.0,1000000.0,"Mumbai, Maharashtra",-6.0,84.3,15.6,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0,28405.58
20,INDIA,IN,Software Engineer,₹,523765.0,259000.0,1000000.0,"Noida, Uttar Pradesh",-7.0,84.3,15.6,"['Python', 'C++ Programming Language', 'C Programming Language', 'Java', 'Java/J2EE', 'JavaScript', 'C# Programming Language', 'SQL', '.NET', 'HTML']",0.014,7332.71,14000.0,3626.0,28141.6
21,INDIA,IN,Primary School Teacher,₹,239512.0,100000.0,506000.0,"Mumbai, Maharashtra",26.0,11.8,88.2,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0,28405.58
22,INDIA,IN,Primary School Teacher,₹,239512.0,100000.0,506000.0,"New Delhi, Delhi",11.0,11.8,88.2,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0,27215.8
23,INDIA,IN,Primary School Teacher,₹,239512.0,100000.0,506000.0,"Bangalore, Karnataka",3.0,11.8,88.2,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0,26220.74
24,INDIA,IN,Primary School Teacher,₹,239512.0,100000.0,506000.0,"Pune, Maharashtra",-1.0,11.8,88.2,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0,24736.68
25,INDIA,IN,Primary School Teacher,₹,239512.0,100000.0,506000.0,"Kolkata, West Bengal",-6.0,11.8,88.2,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0,24500.09
26,INDIA,IN,Primary School Teacher,₹,239512.0,100000.0,506000.0,"Hyderabad, Andhra Pradesh",-12.0,11.8,88.2,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0,24588.3
27,INDIA,IN,Primary School Teacher,₹,239512.0,100000.0,506000.0,"Chennai, Tamil Nadu",-14.0,11.8,88.2,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0,24516.72
28,INDIA,IN,Secondary School Teacher,₹,347010.0,126000.0,712000.0,"New Delhi, Delhi",22.0,31.2,68.8,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0,27215.8
29,INDIA,IN,Secondary School Teacher,₹,347010.0,126000.0,712000.0,"Mumbai, Maharashtra",13.0,31.2,68.8,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0,28405.58
30,INDIA,IN,Secondary School Teacher,₹,347010.0,126000.0,712000.0,"Bangalore, Karnataka",6.0,31.2,68.8,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0,26220.74
31,INDIA,IN,Secondary School Teacher,₹,347010.0,126000.0,712000.0,"Pune, Maharashtra",-11.0,31.2,68.8,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0,24736.68
