,Country,Country code,Job,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand
0,INDIA,IN,Assistant_General_Manager_(AGM),"₹1,687,306",₹628k , ₹3m.,"Mumbai, Maharashtra",+14%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']"
1,INDIA,IN,Assistant_General_Manager_(AGM),"₹1,687,306",₹628k , ₹3m.,"New Delhi, Delhi",+11%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']"
2,INDIA,IN,Assistant_General_Manager_(AGM),"₹1,687,306",₹628k , ₹3m.,"Bangalore, Karnataka",+7%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']"
3,INDIA,IN,Assistant_General_Manager_(AGM),"₹1,687,306",₹628k , ₹3m.,"Pune, Maharashtra",+4%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']"
4,INDIA,IN,Assistant_General_Manager_(AGM),"₹1,687,306",₹628k , ₹3m.,"Delhi, Delhi",-4%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']"
5,INDIA,IN,Assistant_General_Manager_(AGM),"₹1,687,306",₹628k , ₹3m.,"Chennai, Tamil Nadu",-6%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']"
6,INDIA,IN,Assistant_General_Manager_(AGM),"₹1,687,306",₹628k , ₹3m.,"Hyderabad, Andhra Pradesh",-8%,89.2%,10.6%,"['Project Management', 'Leadership', 'Business Development', 'Sales Management', 'People Management', 'Team Leadership', 'Quality Assurance / Quality Control', 'Operations Management', 'Customer Service', 'Administration']"
7,INDIA,IN,Data_Scientist,"₹813,593",₹343k , ₹2m.,"Gurgaon, Haryana",+23%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']"
8,INDIA,IN,Data_Scientist,"₹813,593",₹343k , ₹2m.,"Bangalore, Karnataka",+21%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']"
9,INDIA,IN,Data_Scientist,"₹813,593",₹343k , ₹2m.,"Hyderabad, Andhra Pradesh",-1%,84.7%,15.1%,"['Natural Language Processing (NLP)', 'Statistical Analysis', 'Deep Learning', 'Big Data Analytics', 'Data Modeling', 'Machine Learning', 'R', 'Data Analysis', 'Microsoft Excel', 'SQL']"
